nfc_id,phone
1,457420983140
1,768052572570
1,270300702761
2,351572233633
2,479648377069
3,744793186560
4,474499758412
4,130231801777
5,402210219399
6,238739993131
7,353007525452
7,565353514739
8,395199626034
8,800975430275
8,742874228125
9,413386229055
9,436357644464
9,276840775755
10,292585505840
10,998459602830
10,126770728068
11,628500545259
11,462507821165
12,695209140581
13,185418445345
13,308826088047
13,886697236926
14,976845896148
14,736663112080
15,195091609587
15,468302035830
16,895981209446
16,932180771401
16,785612567497
17,184294771898
17,599500490935
17,101297757329
18,140684158559
18,701040729425
18,613640360458
19,709609280343
19,596674892278
20,321910180269
20,737000751108
21,946764240599
22,270065109012
23,572253586706
23,610438307578
23,775777069090
24,307964916237
24,442286021562
24,155833523704
25,680864005414
26,644886987547
27,851399258790
28,382967231533
28,804142807577
29,927060192172
29,113565020836
30,465369572796
30,325438336365
30,206273268954
31,223613824515
31,217229849563
31,957847295632
32,440653312722
32,986948996723
33,483237149711
33,195975698181
33,226510006558
34,917359374161
35,419075177387
35,668455051498
36,355439450211
36,159163771587
36,950469206556
37,345340191868
37,179816964659
37,318346672351
38,538942297409
38,251418535797
39,809747233942
39,723525879860
39,700362959654
40,399474413822
41,888085612772
41,327799194764
42,215077129716
42,737052862910
43,705146442790
43,829094675606
43,160071943874
44,926138122977
44,742399762428
45,618962756866
45,605357977790
45,358543725899
46,619950162614
46,360162452272
47,128150963659
47,406063335136
47,432865756659
48,941239990192
48,625545699457
48,105884522559
49,603514455752
50,670305301515
50,916554611524
51,538934334921
52,976587336142
53,566844021277
53,476312553233
53,686226227572
54,442773544284
55,109315829099
55,535792333758
56,876099618205
57,906304636126
57,569932544675
58,169657610146
58,575439819580
58,873641443334
59,881028559197
59,325803254370
60,554763007898
61,325816763451
61,407893921269
61,902466208393
62,830922242169
63,998373211371
63,524744442805
63,217547825655
64,420609225434
64,559388743913
65,151639597315
65,198155690409
66,885374409217
66,913460476911
66,979398169579
67,726841432754
67,200967346317
67,670559527375
68,560083156354
68,984634335772
69,717800521707
69,395470540408
70,320585883615
70,148129914099
71,683466888749
71,551025179909
72,197332590827
72,932717013439
72,909152070478
73,810151032443
74,966496248297
75,856790002584
75,262056071443
76,314703365344
76,740525081648
77,220554708459
78,417418800106
79,378177002712
79,978165738322
80,271837140594
81,246769062370
81,628559815361
81,789973478679
82,484710910808
83,929080090587
83,552329028098
84,799293569916
85,515688148058
86,559073549707
87,726400969976
87,975417053657
88,397677095063
88,180015385187
89,901745004743
90,936244582493
90,119938397319
90,501968363492
91,148750826403
91,110009633845
91,538311046964
92,193280614327
92,502881188333
92,869592447638
93,583708203254
93,496634485335
93,533744683076
94,824682508722
94,960690848569
95,658181628771
95,362002709187
95,250318287111
96,717318975941
96,505490981731
96,829899356506
97,878453448981
97,503238920672
97,296099638327
98,989049214609
98,184454583795
99,237473244986
100,175019826501
100,189588506289
100,970274604550
