nfc_id,phone
1,534577144292
2,214283653099
2,146158427875
3,165879926647
4,444630274956
4,359797812774
5,126117524202
5,982844632880
6,512726957027
6,197802453446
7,659137328006
8,937078853566
8,568426658697
9,901355988014
9,847604835826
10,763598720533
11,915520014105
11,445781990227
12,976556445171
12,865389775083
13,665969763955
14,333560749334
14,481929281153
15,202356007399
15,771775496320
16,400090196019
16,668543411416
17,764215965103
17,852427506149
18,119356292947
18,384059532441
19,453552831380
20,686476357160
21,837977836643
21,618561082067
22,255831726428
23,124659516256
23,983327495454
24,173279779431
25,105523739576
26,587124484282
27,516775371190
27,554756012501
28,532306209485
29,211826027574
29,369450125367
30,368789899274
30,874034955991
31,216506906730
32,325867184914
32,253521258515
33,698357596176
34,937072833610
34,480595309365
35,834169006745
35,846813742161
36,604694595928
36,396872369910
37,268631210447
38,253342654293
39,894300642358
40,196157463559
40,201420923790
41,373339448360
41,563151922345
42,793037696889
43,518254167257
44,669632222538
44,447885156709
45,814955542807
45,457180504963
46,572808788682
47,849179486565
48,927350216134
48,537406432899
49,356276027910
49,390531599932
50,186032014476
50,707630571395
51,793996311001
52,511858280210
52,801759646094
53,251424966894
53,968588809353
54,259592049436
54,922312951681
55,271815390003
56,132911830416
57,937277053000
58,126591260177
58,105166892784
59,510231712493
59,654919861680
60,700812975301
61,338955668456
61,624141871213
62,655009764917
63,530422413583
64,987097600030
64,978046279035
65,561576683378
65,831848088917
66,136480312696
66,128178686264
67,307934464162
67,249213313901
68,959847421107
68,246624143912
69,157120554110
69,886661022802
70,967242886399
71,732300780151
72,570614371124
73,551709268644
74,582272256348
75,392910558966
75,742254119086
76,464201320941
77,449213887737
78,232177283437
78,455586764844
79,157837534568
79,875650917521
80,862101919009
80,945225351381
81,922430953947
82,707841999468
83,205700093903
84,832812669247
85,278097770938
85,952974603085
86,890528816905
86,625980355877
87,597348867339
87,254807255128
88,156589676344
89,243412134480
90,501982970742
91,648422025289
91,187464107016
92,903442194224
93,119607225497
94,251223919378
95,638608559886
95,719888972927
96,650642270870
97,544818123133
98,743377642633
98,181209616177
99,714892087282
99,968173574053
100,853269711599
